company,product_name,saving_method,pre_tax_interest_rate,post_tax_interest_rate,max_preference_rate,eligibility,interest_calculation_method,inquiry_info,comparison_disclosure_date,department_contact,preferential_conditions,detailed_eligibility,application_method,post_maturity_interest_rate,other_considerations,product_link,id,institution_type
광주은행,해피라이프_여행스케치적금V,정액적립식,2.9,2.45,4.1,제한없음,단리,"광주은행
(홈페이지)
15883388
(대표번호)",2024-10-21,"영업추진부 수신지원팀 062-239-5206          여신지원팀 062-239-6509
카드사업부 062-239-6107
*실제 상담은 인근영업점이나 당행 콜센터(1588-3388)로 문의","▶ 최고우대금리 1.20%p
①해피라이프_여행스케치외화적금V 동일자가입 0.5%p
②해지원금 기준 500만원이상 : 최고0.2%p
③신용(체크)카드사용실적300만원이상:최고 0.3%p
④개인(신용)정보 동의: 0.2%p",제한없음,"영업점,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2
*만기후 1개월 초과: 0.1%","1. 가입기간 : 6개월이상 3년제
2. 가입금액 : 월5만원 이상 5백만원 이하 (1인1계좌)",https://finlife.fss.or.kr/finlife/svings/fdrmEnty/www.kjbank.com/ib20/mnu/FPMDPTR030100?INBN_GDS_NO=DEP20220520001,11,은행
경남은행,BNK더조은자유적금,자유적립식,3.35,2.83,4.05,제한없음,단리,"경남은행
(홈페이지)
16008585
(대표번호)",2024-10-21,"리테일금융부(대출문의),055-290-8743
고객기획부(예·적금상품),1600-8585","①오픈뱅킹서비스 가입 0.20%(만기까지 유지)
②당행 입출금통장에서 자동이체시 입금건별 0.20%
③이 상품 신규시 금리우대쿠폰을 등록할 경우 0.30%",제한없음,"인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","1. 계약기간은 6개월 이상 2년 이내 월단위로 한다.
2. 초입금 1만원 이상 월별 500만원 이내에서 자유롭게 저축
3. 최대 저축횟수는 999회 이내",https://www.knbank.co.kr/ib20/mnu/FPMDPT020108000?ib20_wc=FPMDPT110LSTV00M:FPMDPT221DETV00M&ib20_cur_mnu=FPMDPT020108000&ib20_cur_wgt=FPMDPT110LSTV00M&FNC_PRD_NO=0000020178&FNC_PRD_DIS_CD=01,12,은행
주식회사 케이뱅크,주거래우대 자유적금,자유적립식,3.4,2.88,4.0,제한없음,단리,"주식회사 케이뱅크
(홈페이지)
15221000
(대표번호)",2024-10-21,"수신팀, 02-3210-7312","급여이체 또는 통신비 자동이체, 체크카드 고객에게 우대금리 제공 (최고 연 0.6%)",제한없음,스마트폰,"만기 후
- 1개월 이내: 만기시점 기본금리 X 50%
- 1개월 초과 ~ 6개월 이내: 만기시점 기본금리 X 30%
- 6개월 초과: 연 0.20%","가입금액: 1천원 이상 300만원 이하
가입기간: 6개월 ~ 36개월
(1인 최대 3계좌)",,13,은행
토스뱅크 주식회사,토스뱅크 키워봐요 적금,자유적립식,2.0,1.69,4.0,제한없음,단리,"토스뱅크 주식회사
(홈페이지)
16617654
(대표번호)",2024-10-21,"수신 02-6713-1951
여신 02-6713-1970",· 적금 가입 시 설정되는 주 단위 자동이체를 통하여 25회 이상 적립한 경우 : 연 2.00% 제공,제한없음,스마트폰,"· 만기 후 1개월 이내 : 만기시점 기본금리 X 50%
· 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20%
· 만기 후 3개월 초과 : 연 0.10%","· 1인 1계좌 (단, 이벤트 등으로 토스뱅크가 복수의 계좌개설을 허용하는 경우 추가 개설 가능)
· 가입금액 : 0원
· 우대금리는 우대조건을 달성하고 만기 해지하는 경우에만 제공됨",,14,은행
광주은행,해피라이프_여행스케치적금V,자유적립식,2.7,2.28,3.9,제한없음,단리,"광주은행
(홈페이지)
15883388
(대표번호)",2024-10-21,"영업추진부 수신지원팀 062-239-5206          여신지원팀 062-239-6509
카드사업부 062-239-6107
*실제 상담은 인근영업점이나 당행 콜센터(1588-3388)로 문의","▶ 최고우대금리 1.20%p
①해피라이프_여행스케치외화적금V 동일자가입 0.5%p
②해지원금 기준 500만원이상 : 최고0.2%p
③신용(체크)카드사용실적300만원이상:최고 0.3%p
④개인(신용)정보 동의: 0.2%p",제한없음,"영업점,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2
*만기후 1개월 초과: 0.1%","1. 가입기간 : 6개월이상 3년제
2. 가입금액 : 월5만원 이상 5백만원 이하 (1인1계좌)",,15,은행
아이엠뱅크,내가만든 보너스적금,자유적립식,2.95,2.5,3.75,제한없음,단리,"아이엠뱅크
(홈페이지)
15885050
(대표번호)",2024-10-21,"개인여신부, 053-740-2230                                수신기획부, 053-740-2162","* 최고우대금리 : 연0.80%p
- 인터넷/모바일뱅킹으로 신규 : 연0.20%p
- 상품 가입 전 마케팅활용[개인(신용)정보수집이용동의] 전체 동의 : 연0.20%p
(계약기간 1년인 경우 만기일 기준)
- 당행 계좌로 자동이체 8회 이상 입금 : 연0.20%p
- 원금합계 100만원 이상 : 연0.10%p 또는 원금합계 200만원 이상 : 연0.20%p",제한없음,"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과: 약정이자율 x 50%
만기 후 3개월 미만 경과: 약정이자율 x 25%
만기 후 3개월 이상 경과: 약정이자율 x 10%","1계좌당 가입한도 : 월20만원
(최저 1만원 이상)",,16,은행
주식회사 카카오뱅크,카카오뱅크 자유적금,자유적립식,3.3,2.79,3.5,제한없음,단리,"주식회사 카카오뱅크
(홈페이지)
15993333
(대표번호)",2024-10-21,"수신팀 1599-3333
여신팀 1599-3333","자동이체시 우대금리 제공 : 연 0.20%p
- 제공조건 : 전체 계약월수의 1/2이상을 자동이체로 납입하고 만기 해지하는 경우
- 유의사항 : 만기 자동연장된 원리금은 우대금리를 제공하지 않음",제한없음,스마트폰,"- 만기 후 1개월 이내 : 가입(또는 자동연장)시점 기본금리x50%
- 만기 후 1개월초과 3개월 이내 : 가입(또는 자동연장)시점 기본금리x30%
- 만기 후 3개월 초과 : 0.20%","1. 가입방법 : 스마트폰
2. 가입금액 : 1천원 이상(원단위)
3. 가입기간 : 6개월 이상 ~ 36개월 이하(월, 일단위 지정 가능)
4. 월 적립한도 : 1천원 이상 월 300만원 이하 원단위(단, 자동연장된 원리금은 월 적립한도에 포함되지 않음)",,17,은행
주식회사 케이뱅크,코드K 자유적금,자유적립식,3.5,2.96,3.5,제한없음,단리,"주식회사 케이뱅크
(홈페이지)
15221000
(대표번호)",2024-10-21,"수신팀, 02-3210-7312",금리우대 코드를 입력하는 경우 우대금리 적용,제한없음,스마트폰,"만기 후
- 1개월 이내: 만기시점 기본금리 X 50%
- 1개월 초과 ~ 6개월 이내: 만기시점 기본금리 X 30%
- 6개월 초과: 연 0.20%","가입금액: 1만원 이상 30만원 이하
가입기간: 6개월, 1년, 2년, 3년
(1인 최대 3계좌)",,18,은행
부산은행,저탄소 실천 적금,자유적립식,2.9,2.45,3.3,제한없음,단리,"부산은행
(홈페이지)
15886200
(대표번호)",2024-10-21,"(예금)수신고객부, 051-620-3339
(대출)여신고객부, 051-620-3423
실제 상담은 인근 영업점이나 당행 콜센터(1588-6200)로 문의","조건 달성여부에 따라 우대금리 적용
*개인형 우대이율: 최대0.4%
*기업형(개인사업자 및 법인)우대이율: 최대0.4%",제한없음,"영업점,인터넷,스마트폰","- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","1. 가입한도: 월 1만원 이상 1천만원 이하 원단위 (월 1천만원 이하 불입 가능)
2. 자유적립식",,19,은행
부산은행,펫 적금,정액적립식,2.7,2.28,3.25,제한없음,단리,"부산은행
(홈페이지)
15886200
(대표번호)",2024-10-21,"(예금)수신고객부, 051-620-3339
(대출)여신고객부, 051-620-3423
실제 상담은 인근 영업점이나 당행 콜센터(1588-6200)로 문의","*우대이율 6개월제 최대 0.55%, 12개월제 최대 0.90%",제한없음,"영업점,스마트폰","- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","1. 가입한도: 월 1만원 이상 50만원 이하 원단위
2. 정기적립식",,20,은행
부산은행,펫 적금,자유적립식,2.6,2.2,3.15,제한없음,단리,"부산은행
(홈페이지)
15886200
(대표번호)",2024-10-21,"(예금)수신고객부, 051-620-3339
(대출)여신고객부, 051-620-3423
실제 상담은 인근 영업점이나 당행 콜센터(1588-6200)로 문의","*우대이율 6개월제 최대 0.55%, 12개월제 최대 0.90%",제한없음,"영업점,스마트폰","- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","1. 가입한도: 월 1만원 이상 50만원 이하 원단위
2. 자유적립식",,21,은행
부산은행,BNK내맘대로 적금,자유적립식,2.9,2.45,3.1,제한없음,단리,"부산은행
(홈페이지)
15886200
(대표번호)",2024-10-21,"(예금)수신고객부, 051-620-3339
(대출)여신고객부, 051-620-3423
실제 상담은 인근 영업점이나 당행 콜센터(1588-6200)로 문의","*우대이율 최대 0.2%
- 신규시 우대이율 0.05% 및 해지시 우대이율 최대 0.15%",제한없음,"영업점,인터넷,스마트폰","- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","1. 가입금액 :
1천원 이상
2. 가입기간 :
6개월 이상 60개월 이하(일단위)",,22,은행
아이엠뱅크,iM스마트적금,자유적립식,2.65,2.24,3.1,제한없음,단리,"아이엠뱅크
(홈페이지)
15885050
(대표번호)",2024-10-21,"개인여신부, 053-740-2230                                수신기획부, 053-740-2162","* 최고우대금리 : 연0.45%p
- 가입일로부터 3개월 이내 1가지 이상 요건 충족시 : 연0.20%p
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
- 전체 계약월수 중 1/2이상 당행 계좌에서 자동이체 납입 시 : 연0.20%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",제한없음,"인터넷,스마트폰","만기 후 1개월 미만 경과: 약정이자율 x 50%
만기 후 3개월 미만 경과: 약정이자율 x 25%
만기 후 3개월 이상 경과: 약정이자율 x 10%",1계좌당 가입한도 : 월 100만원(최저 5만원 이상),,23,은행
하나은행,내맘적금,정액적립식,2.5,2.12,3.0,제한없음,단리,"하나은행
(홈페이지)
15991111
(대표번호)",2024-11-01,"가계수신(예금) 02-1599-1111(리테일사업부)
가계여신(대출) 02-2002-1196(리테일사업부)",하나은행 통장에서 계약기간의 1/2이상 월부금 자동이체실적 충족 시 연 0.50%,제한없음,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","1개월 이내 : 지급당시 해당기간별 일반정기적금 기본금리 1/2
1개월 초과 : 지급당시 해당기간별 일반정기적금 기본금리 1/4","1. 1인 다계좌 가능
2. 가입금액
- 1천원 이상~1,000만원 이하(원단위)
3. 적립한도
- 자유적립식 : 매월 1원 이상~1,000만원 이하(원단위)
- 정액적립식 : 매월 1천원 이상~1,000만원 이하(원단위)",,24,은행
한국스탠다드차타드은행,퍼스트가계적금,정액적립식,3.0,2.54,3.0,제한없음,단리,"한국스탠다드차타드은행
(홈페이지)
15881599
(대표번호)",2024-11-01,"SC제일은행 고객센터
1588-1599",없음,제한없음,"영업점,인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%",해당없음,,25,은행
한국산업은행,KDB 자유적금,자유적립식,2.93,2.48,2.93,제한없음,단리,"한국산업은행
(홈페이지)
0215881500
(대표번호)",2024-11-11,"(예금)수신기획부, 02-787-7439
(개인대출)지역성장지원실, 051-640-3372
(기업대출)영업기획부, 02-787-6929",해당없음,제한없음,"영업점,인터넷,스마트폰","* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2
* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율",해당없음,,26,은행
한국스탠다드차타드은행,퍼스트가계적금,자유적립식,2.9,2.45,2.9,제한없음,단리,"한국스탠다드차타드은행
(홈페이지)
15881599
(대표번호)",2024-11-01,"SC제일은행 고객센터
1588-1599",없음,제한없음,"영업점,인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%",해당없음,,27,은행
하나은행,내맘적금,자유적립식,2.2,1.86,2.7,제한없음,단리,"하나은행
(홈페이지)
15991111
(대표번호)",2024-11-01,"가계수신(예금) 02-1599-1111(리테일사업부)
가계여신(대출) 02-2002-1196(리테일사업부)",하나은행 통장에서 계약기간의 1/2이상 월부금 자동이체실적 충족 시 연 0.50%,제한없음,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","1개월 이내 : 지급당시 해당기간별 일반정기적금 기본금리 1/2
1개월 초과 : 지급당시 해당기간별 일반정기적금 기본금리 1/4","1. 1인 다계좌 가능
2. 가입금액
- 1천원 이상~1,000만원 이하(원단위)
3. 적립한도
- 자유적립식 : 매월 1원 이상~1,000만원 이하(원단위)
- 정액적립식 : 매월 1천원 이상~1,000만원 이하(원단위)",,28,은행
한국산업은행,KDB 기업정기적금,정액적립식,2.53,2.14,2.53,제한없음,단리,"한국산업은행
(홈페이지)
0215881500
(대표번호)",2024-11-11,"(예금)수신기획부, 02-787-7439
(개인대출)지역성장지원실, 051-640-3372
(기업대출)영업기획부, 02-787-6929",해당없음,제한없음,"영업점,인터넷","* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2
* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율",해당없음,,29,은행
토스뱅크 주식회사,토스뱅크 자유 적금,자유적립식,2.0,1.69,2.5,제한없음,단리,"토스뱅크 주식회사
(홈페이지)
16617654
(대표번호)",2024-10-21,"수신 02-6713-1951
여신 02-6713-1970",· 적금 가입 시 설정되는 월 단위 자동이체를 모두 성공하는 경우 : 연 0.50% 제공,제한없음,스마트폰,"· 만기 후 1개월 이내 : 만기시점 기본금리 X 50%
· 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20%
· 만기 후 3개월 초과 : 연 0.10%","· 1인 1계좌 (단, 이벤트 등으로 토스뱅크가 복수의 계좌개설을 허용하는 경우 추가 개설 가능)
· 가입금액 : 0원 이상 300만원 이하
· 우대금리는 만기 해지하는 경우에만 제공됨",,30,은행
고려저축은행,마이버킷 정기적금,정액적립식,3.0,2.54,6.0,제한없음,단리,"고려저축은행
(홈페이지)
18779900
(대표번호)",2024-10-31,"영업추진팀,051-640-9052","* 최고우대금리 : 3.00%
[워크온 챌린지 참여]
- 금메달(200,000보) : 3.00%
- 은메달(180,000보) : 2.00%
- 동메달(150,000보) : 1.00%",제한없음,스마트폰,"-1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
-1개월초과: 보통예금이자율(현재0.1%)","-고뱅크 어플 전용상품
-1인당 최대 150만원까지 가입가능
-가입기간 : 6개월~12개월",https://www.goryosb.co.kr/deposit/product/P000000178?upperCode=PC00000022,31,저축은행
도림교회 신용협동조합,자유적립적금(대면),자유적립식,6.0,5.08,6.0,제한없음,단리,"신용협동조합
(홈페이지)
15666000
(대표번호)",2024-10-21,도림교회신용협동조합 02-848-0987,없음,제한없음,영업점,"만기후 1개월 미만 : 만기일 당시 신규 기본이율의 1/2
만기후 1개월 이상 ~ 3개월 미만 : 만기일 당시 신규 기본이율의 1/3
만기후 3개월 이상 ~ 6개월 미만 : 만기일 당시 신규 기본이율의 1/6
만기후 6개월 이상 : 만기일 당시 보통예탁금 이율
기재된 구간별 만기후 이자율은 최저이율이며 그 이상으로 지급 될 수 있습니다.",가입기간 : 3개월 이상 6년 이하(월단위),http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=86,32,신용협동조합
도림교회 신용협동조합,정기적금(대면),정액적립식,6.0,5.08,6.0,제한없음,단리,"신용협동조합
(홈페이지)
15666000
(대표번호)",2024-10-21,도림교회신용협동조합 02-848-0987,없음,제한없음,영업점,"만기후 1개월 미만 : 만기일 당시 신규 기본이율의 1/2
만기후 1개월 이상 ~ 3개월 미만 : 만기일 당시 신규 기본이율의 1/3
만기후 3개월 이상 ~ 6개월 미만 : 만기일 당시 신규 기본이율의 1/6
만기후 6개월 이상 : 만기일 당시 보통예탁금 이율
기재된 구간별 만기후 이자율은 최저이율이며 그 이상으로 지급 될 수 있습니다.","가입금액 : 월 1천원 이상
가입기간 : 6년 이하(월단위)",http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=1021,33,신용협동조합
페퍼저축은행,AI Peppers 배구사랑 정기적금,정액적립식,6.0,5.08,6.0,제한없음,단리,"페퍼저축은행
(홈페이지)
15990722
(대표번호)",2023-01-16,예금담당자 03180395648 대출문의 15990722,우대사항 없음,제한없음,스마트폰,"*신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
*만기 후 이자율
- 1개월 이내 (당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율)
- 1개월 초과 ~ (보통예금 이율)
- 납입지연 이율(만기앞당김 이율 기간별 정기적금 기본이율)","*최소가입금액: 1만원 이상
*최고한도(단위:원) 50만원(정액 적립식)",,34,저축은행
